ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,LIGHT_CONDITION,NODE_ID,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,RMA,ROAD_NAME,LGA_NAME,LATITUDE,LONGITUDE,YEAR,MONTH,MONTH_NAME,HOUR,TIME_PERIOD,DAY_TYPE
T20190000019,2019-01-01,06:00:00,4,Collision with a fixed object,2,Tuesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,343730,T intersection,3,50,Local Road,GLENORCHY,WHITTLESEA,-37.63302,145.08519,2019,1,January,6,Morning Peak,Weekday
T20190000021,2019-01-01,08:27:00,4,Collision with a fixed object,2,Tuesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,343169,T intersection,2,50,Arterial Other,HAMPTON,BAYSIDE,-37.92179,145.00551,2019,1,January,8,Morning Peak,Weekday
T20190000464,2019-01-01,19:30:00,1,Collision with vehicle,2,Tuesday,130,REAR END(VEHICLES IN SAME LANE),1,360401,Not at intersection,3,80,Arterial Other,BALLARAT,MARIBYRNONG,-37.779797,144.8543,2019,1,January,19,Night,Weekday
T20190000081,2019-01-01,22:31:00,2,Struck Pedestrian,2,Tuesday,103,PED PLAYING/LYING/WORKING/STANDING ON CARRIAGEWAY.,3,343437,Not at intersection,3,60,Arterial Highway,PRINCES,EAST GIPPSLAND,-37.8749,148.00748,2019,1,January,22,Night,Weekday
T20190000080,2019-01-01,20:15:00,4,Collision with a fixed object,2,Tuesday,179,OTHER ACCIDENTS-OFF STRAIGHT NOT INCLUDED IN DCAs 170-175,1,344412,Not at intersection,3,50,Local Road,ROCLA,LATROBE,-38.18938,146.56593,2019,1,January,20,Night,Weekday
T20190000947,2019-01-01,01:15:00,4,Collision with a fixed object,2,Tuesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,3,341404,Not at intersection,3,80,Freeway,WEST GATE,MARIBYRNONG,-37.824345,144.86102,2019,1,January,1,Late Night,Weekday
T20190000071,2019-01-01,23:00:00,4,Collision with a fixed object,2,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,3,360657,Not at intersection,2,100,Freeway,CITYLINK,MOONEE VALLEY,-37.73397,144.90907,2019,1,January,23,Night,Weekday
T20190000070,2019-01-01,16:30:00,1,Collision with vehicle,2,Tuesday,120,HEAD ON (NOT OVERTAKING),1,345527,Not at intersection,2,100,Arterial Highway,GLENELG,SOUTHERN GRAMPIANS,-37.71443,141.95844,2019,1,January,16,Afternoon Peak,Weekday
T20190000023,2019-01-01,07:28:00,8,No collision and no object struck,2,Tuesday,182,OFF CARRIAGEWAY ON LEFT BEND,1,344814,Not at intersection,2,100,Arterial Highway,MIDLAND,HEPBURN,-37.385197,144.00668,2019,1,January,7,Morning Peak,Weekday
T20190000025,2019-01-01,10:38:00,2,Struck Pedestrian,2,Tuesday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,1,40099,Cross intersection,2,60,Arterial Other,BARKLY,PORT PHILLIP,-37.860218,144.98248,2019,1,January,10,Midday,Weekday
